subject,label,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
subjects,lh_bankssts,1205,841,2398,2.796,0.426,0.117,0.021,11,0.9
subjects,lh_caudalanteriorcingulate,856,578,1542,2.731,0.474,0.12,0.012,11,0.4
subjects,lh_caudalmiddlefrontal,2803,1863,5938,2.831,0.541,0.114,0.021,26,2.4
subjects,lh_cuneus,2620,1627,3031,1.825,0.492,0.142,0.033,39,3.6
subjects,lh_entorhinal,548,407,1716,3.28,0.595,0.12,0.026,4,0.6
subjects,lh_fusiform,4162,2889,8559,2.711,0.585,0.13,0.027,52,4.4
subjects,lh_inferiorparietal,5017,3490,10661,2.709,0.505,0.129,0.028,71,5.5
subjects,lh_inferiortemporal,5028,3525,12413,3.001,0.613,0.137,0.032,69,6.6
subjects,lh_isthmuscingulate,1473,936,2240,2.123,0.763,0.119,0.025,21,1.3
subjects,lh_lateraloccipital,8055,5134,12857,2.309,0.579,0.139,0.034,104,10.9
subjects,lh_lateralorbitofrontal,3596,2517,8164,2.893,0.636,0.141,0.034,51,5.4
subjects,lh_lingual,4517,3007,5848,1.865,0.49,0.128,0.029,57,5.5
subjects,lh_medialorbitofrontal,3193,2195,6487,2.547,0.793,0.122,0.035,54,4.9
subjects,lh_middletemporal,4694,3218,11990,3.14,0.587,0.127,0.026,60,4.9
subjects,lh_parahippocampal,930,615,1696,2.512,0.587,0.072,0.012,4,0.4
subjects,lh_paracentral,2087,1357,3737,2.551,0.628,0.102,0.025,14,2.1
subjects,lh_parsopercularis,2309,1611,5416,2.968,0.514,0.116,0.02,21,1.8
subjects,lh_parsorbitalis,972,638,2430,3.142,0.536,0.124,0.024,13,0.9
subjects,lh_parstriangularis,2300,1526,4549,2.774,0.502,0.115,0.02,23,1.8
subjects,lh_pericalcarine,1923,1280,1814,1.584,0.413,0.126,0.03,20,2.2
subjects,lh_postcentral,5777,3660,9203,2.261,0.688,0.101,0.022,45,4.9
subjects,lh_posteriorcingulate,1678,1155,3168,2.467,0.548,0.128,0.022,23,1.6
subjects,lh_precentral,7233,4509,14603,2.99,0.651,0.102,0.021,52,6.5
subjects,lh_precuneus,5555,3729,9442,2.45,0.54,0.122,0.025,59,5.4
subjects,lh_rostralanteriorcingulate,923,607,2216,3.161,0.534,0.13,0.027,13,1
subjects,lh_rostralmiddlefrontal,8555,5750,16348,2.555,0.516,0.128,0.028,109,9.5
subjects,lh_superiorfrontal,10411,7145,24212,3.014,0.579,0.118,0.024,99,10.2
subjects,lh_superiorparietal,7755,5137,13898,2.41,0.528,0.121,0.023,86,7
subjects,lh_superiortemporal,6059,4126,13621,2.968,0.571,0.11,0.02,55,4.7
subjects,lh_supramarginal,6890,4689,14084,2.748,0.551,0.125,0.023,76,6.3
subjects,lh_frontalpole,393,282,1066,2.605,0.703,0.173,0.061,11,1
subjects,lh_temporalpole,637,464,2674,3.727,0.623,0.174,0.058,13,1.6
subjects,lh_transversetemporal,777,489,1262,2.46,0.545,0.133,0.022,9,0.7
subjects,lh_insula,3571,2379,7648,3.183,0.672,0.098,0.021,28,3.1
subjects,rh_bankssts,1092,754,1975,2.611,0.488,0.094,0.019,7,0.7
subjects,rh_caudalanteriorcingulate,1090,747,2313,2.582,0.651,0.136,0.02,16,0.9
subjects,rh_caudalmiddlefrontal,2616,1748,5352,2.901,0.474,0.109,0.02,19,2.1
subjects,rh_cuneus,2390,1528,3004,1.857,0.513,0.138,0.034,33,3.5
subjects,rh_entorhinal,462,340,1711,3.508,0.553,0.128,0.032,4,0.7
subjects,rh_fusiform,3978,2822,7777,2.594,0.557,0.127,0.028,50,4.7
subjects,rh_inferiorparietal,6983,4842,14944,2.749,0.468,0.127,0.025,86,7.1
subjects,rh_inferiortemporal,4520,3163,11543,3.015,0.621,0.139,0.031,68,6.1
subjects,rh_isthmuscingulate,1210,788,2017,2.29,0.722,0.123,0.027,17,1.1
subjects,rh_lateraloccipital,8390,5525,12769,2.148,0.564,0.133,0.03,106,10.1
subjects,rh_lateralorbitofrontal,3842,2699,8648,2.964,0.665,0.131,0.034,52,5.1
subjects,rh_lingual,4372,2916,6273,2.024,0.556,0.134,0.032,57,6.1
subjects,rh_medialorbitofrontal,3185,2236,6509,2.688,0.665,0.124,0.024,42,3.2
subjects,rh_middletemporal,4861,3421,11976,2.944,0.572,0.13,0.029,67,5.6
subjects,rh_parahippocampal,1006,661,1879,2.61,0.623,0.083,0.017,7,0.5
subjects,rh_paracentral,2337,1505,3914,2.51,0.509,0.109,0.023,19,2.1
subjects,rh_parsopercularis,1938,1314,4088,2.936,0.453,0.12,0.024,18,1.8
subjects,rh_parsorbitalis,1387,917,3459,2.968,0.614,0.131,0.026,18,1.5
subjects,rh_parstriangularis,2615,1771,5335,2.673,0.477,0.119,0.022,29,2.2
subjects,rh_pericalcarine,2024,1331,2044,1.746,0.551,0.115,0.025,16,2
subjects,rh_postcentral,6174,3874,9569,2.243,0.682,0.1,0.019,48,4.8
subjects,rh_posteriorcingulate,1742,1254,3485,2.54,0.578,0.139,0.025,24,1.9
subjects,rh_precentral,7578,4730,14786,2.851,0.646,0.106,0.022,56,7.3
subjects,rh_precuneus,5679,3862,10003,2.509,0.488,0.116,0.022,53,5.3
subjects,rh_rostralanteriorcingulate,964,649,2350,3.025,0.535,0.14,0.025,15,1
subjects,rh_rostralmiddlefrontal,8456,5662,16992,2.628,0.502,0.129,0.029,100,9.7
subjects,rh_superiorfrontal,9178,6147,21269,3.079,0.548,0.118,0.025,84,9.1
subjects,rh_superiorparietal,8088,5289,14312,2.415,0.522,0.117,0.023,87,7
